name,urls,first
DUSC,https://github.com/KorkinLab/DUSC|https://github.com/KorkinLab/DUSC/wiki,https://github.com/KorkinLab/DUSC
GSFA,https://github.com/xinhe-lab/GSFA,https://github.com/xinhe-lab/GSFA
hsslda,https://github.com/mamouzgar/hsslda,https://github.com/mamouzgar/hsslda
LDA_scRNAseq,https://github.com/lrjuan/LDA_scRNAseq,https://github.com/lrjuan/LDA_scRNAseq
Matilda,https://Matilda.readthedocs.io/en/latest/|https://github.com/liuchunlei0430/Matilda,https://Matilda.readthedocs.io/en/latest/
MIDAS,https://scmidas.readthedocs.io/en/latest/|https://github.com/labomics/midas,https://scmidas.readthedocs.io/en/latest/
Monopogen,https://github.com/KChen-lab/Monopogen,https://github.com/KChen-lab/Monopogen
mvTCR,https://github.com/SchubertLab/mvTCR|https://github.com/SchubertLab/mvTCR/tree/master/tutorials,https://github.com/SchubertLab/mvTCR
Normalisr,https://github.com/lingfeiwang/normalisr,https://github.com/lingfeiwang/normalisr
northstar,https://northstar.readthedocs.io|https://github.com/northstaratlas/northstar,https://northstar.readthedocs.io
OGFSC,https://github.com/XZouProjects/OGFSC_matlab,https://github.com/XZouProjects/OGFSC_matlab
ParaDPMM,https://github.com/tiehangd/Para_DPMM,https://github.com/tiehangd/Para_DPMM
PILOT,https://PILOT.readthedocs.io/en/latest/|https://github.com/CostaLab/PILOT|https://github.com/CostaLab/PILOT/tree/master/Tutorial,https://PILOT.readthedocs.io/en/latest/
scAEspy,https://gitlab.com/cvejic-group/scaespy,https://gitlab.com/cvejic-group/scaespy
scCAN,https://github.com/cran/scCAN|https://github.com/cran/scCAN/tree/master/vignettes|https://github.com/cran/scCAN/tree/master/inst/doc,https://github.com/cran/scCAN
sccomp,https://bioconductor.org/packages/release/bioc/html/sccomp.html|https://github.com/stemangiola/sccomp,https://bioconductor.org/packages/release/bioc/html/sccomp.html
ScisorWiz,https://github.com/ans4013/ScisorWiz,https://github.com/ans4013/ScisorWiz
scRecover,https://bioconductor.org/packages/release/bioc/html/scRecover.html|https://github.com/XuegongLab/scRecover,https://bioconductor.org/packages/release/bioc/html/scRecover.html
STARE,https://STARE.readthedocs.io/en/latest/|https://github.com/schulzlab/STARE,https://STARE.readthedocs.io/en/latest/
VeloViz,https://github.com/JEFworks-Lab/veloviz|https://github.com/JEFworks/VeloViz,https://github.com/JEFworks-Lab/veloviz
BITFAM,https://github.com/jaleesr/BITFAM,https://github.com/jaleesr/BITFAM
CCPE,https://github.com/LiuJJ0327/CCPE,https://github.com/LiuJJ0327/CCPE
